1	00	15	0
1	00	45	0
2	00	45	0
3	00	45	0
1	01	00	0
1	01	45	0
2	01	45	0
3	01	45	0
1	02	05	0
1	02	15	0
2	02	15	0
3	02	15	0
1	07	15	0
4	07	15	0
5	07	15	0
1	07	30	0
1	07	30	0
2	07	30	0
4	07	40	0
1	07	45	0
5	07	45	0
2	07	50	0
1	08	00	0
2	08	00	0
3	08	00	0
4	08	00	0
1	08	05	0
1	08	15	0
5	08	15	0
2	08	20	0
1	08	30	0
4	08	35	0
2	08	45	0
1	09	00	0
3	09	00	0
5	09	00	0
1	09	05	0
2	09	05	0
1	09	15	0
4	09	15	0
2	09	25	0
3	09	30	0
4	09	40	0
1	09	45	0
2	09	45	0
5	09	45	0
1	09	55	0
1	10	05	0
1	10	15	0
2	10	25	0
3	10	30	0
5	10	30	0
1	10	40	0
2	10	45	0
1	10	55	0
3	11	05	0
4	11	05	0
1	11	10	0
5	11	10	0
1	11	20	0
2	11	25	0
4	11	30	0
1	11	40	0
2	11	45	0
1	12	00	0
1	12	00	0
2	12	05	0
3	12	05	0
4	12	05	0
5	12	05	0
1	12	10	0
1	12	15	0
2	12	25	0
1	12	40	0
5	12	40	0
2	12	45	0
1	12	50	0
1	12	55	0
2	13	05	0
3	13	05	0
4	13	05	0
1	13	10	0
5	13	15	0
1	13	20	0
2	13	25	0
1	13	30	0
3	13	30	0
1	13	35	0
2	13	45	0
1	13	50	0
1	14	00	0
4	14	05	0
5	14	05	0
1	14	10	0
2	14	15	0
1	14	20	0
3	14	30	0
2	14	35	0
1	14	40	0
5	14	45	0
3	15	00	0
1	15	05	0
2	15	05	0
4	15	05	0
1	15	10	0
1	15	10	0
5	15	10	0
1	15	15	0
2	15	25	0
3	15	30	0
1	15	35	0
1	15	35	0
5	15	40	0
2	15	45	0
1	15	50	0
1	16	00	0
1	16	05	0
1	16	05	0
2	16	05	0
3	16	05	0
4	16	05	0
1	16	10	0
5	16	15	0
2	16	25	0
1	16	30	0
1	16	35	0
1	16	45	0
2	16	45	0
1	17	05	0
4	17	05	0
1	17	10	0
2	17	10	0
3	17	10	0
5	17	10	0
1	17	15	0
1	17	15	0
1	17	20	0
2	17	30	0
3	17	30	0
1	17	35	0
1	17	45	0
5	17	45	0
1	17	50	0
2	17	50	0
1	18	05	0
3	18	05	0
4	18	05	0
1	18	10	0
2	18	10	0
1	18	20	0
1	18	25	0
5	18	25	0
2	18	30	0
1	18	40	0
2	18	50	0
1	19	00	0
1	19	00	0
1	19	05	0
3	19	05	0
4	19	05	0
5	19	05	0
2	19	10	0
1	19	35	0
1	19	40	0
2	19	45	0
5	19	45	0
2	20	05	0
3	20	05	0
4	20	05	0
1	20	10	0
1	20	15	0
2	20	20	0
5	20	20	0
3	20	30	0
2	20	35	0
1	20	40	0
2	21	10	0
1	21	15	0
3	21	30	0
1	21	45	0
1	21	45	0
2	21	45	0
1	22	15	0
1	22	45	0
2	22	45	0
3	22	45	0
1	23	15	0
1	23	45	0
2	23	45	0
3	23	45	0
